"Species Name 
 Wilson & Reeder 2005"	Diet
Abditomys_latidens	?
Abeomelomys_sevia	?
Abrawayaomys_ruschii	?
Abrocoma_bennettii	?
Abrocoma_boliviensis	?
Abrocoma_budini	?
Abrocoma_cinerea	?
Abrocoma_famatina	?
Abrocoma_shistacea	?
Abrocoma_vaccarum	?
Abrothrix_andinus	?
Abrothrix_hershkovitzi	?
Abrothrix_illuteus	?
Abrothrix_jelskii	?
Abrothrix_lanosus	?
Abrothrix_longipilis	?
Abrothrix_markhami	?
Abrothrix_olivaceus	Omnivore
Abrothrix_sanborni	?
Acerodon_celebensis	?
Acerodon_humilis	?
Acerodon_jubatus	Herbivore
Acerodon_leucotis	?
Acerodon_mackloti	?
Acinonyx_jubatus	?
Acomys_airensis	?
Acomys_cahirinus	Omnivore
Acomys_chudeaui	?
Acomys_cilicicus	?
Acomys_cineraceus	?
Acomys_dimidiatus	?
Acomys_ignitus	?
Acomys_johannis	?
Acomys_kempi	?
Acomys_louisae	?
Acomys_minous	?
Acomys_mullah	?
Acomys_nesiotes	?
Acomys_percivali	?
Acomys_russatus	?
Acomys_seurati	?
Acomys_spinosissimus	?
Acomys_subspinosus	?
Acomys_wilsoni	?
Aconaemys_fuscus	?
Aconaemys_porteri	?
Aconaemys_sagei	?
Acrobates_pygmaeus	Omnivore
Addax_nasomaculatus	Herbivore
Aepeomys_lugens	?
Aepyceros_melampus	Herbivore
Aepyprymnus_rufescens	Herbivore
Aeretes_melanopterus	?
Aeromys_tephromelas	?
Aeromys_thomasi	Herbivore
Aethalops_aequalis	?
Aethalops_alecto	Herbivore
Aethomys_bocagei	?
Aethomys_chrysophilus	Omnivore
Aethomys_hindei	?
Aethomys_ineptus	?
Aethomys_kaiseri	?
Aethomys_nyikae	?
Aethomys_silindensis	?
Aethomys_stannarius	?
Aethomys_thomasi	?
Ailuropoda_melanoleuca	Omnivore
Ailurops_melanotis	?
Ailurops_ursinus	?
Ailurus_fulgens	Omnivore
Akodon_aerosus	?
Akodon_affinis	?
Akodon_albiventer	?
Akodon_azarae	?
Akodon_bogotensis	?
Akodon_boliviensis	?
Akodon_budini	?
Akodon_cursor	Omnivore
Akodon_dayi	?
Akodon_dolores	?
Akodon_fumeus	?
Akodon_iniscatus	?
Akodon_juninensis	?
Akodon_kofordi	?
Akodon_latebricola	?
Akodon_lindberghi	?
Akodon_lutescens	?
Akodon_mimus	?
Akodon_molinae	?
Akodon_mollis	?
Akodon_montensis	?
Akodon_neocenus	?
Akodon_orophilus	?
Akodon_pervalens	?
Akodon_sanctipaulensis	?
Akodon_serrensis	?
Akodon_siberiae	?
Akodon_simulator	?
Akodon_spegazzinii	?
Akodon_subfuscus	?
Akodon_surdus	?
Akodon_sylvanus	?
Akodon_toba	?
Akodon_torques	?
Akodon_varius	?
Alcelaphus_buselaphus	Herbivore
Alcelaphus_caama	?
Alcelaphus_lichtensteinii	Herbivore
Alces_alces	Herbivore
Alces_americanus	?
Alionycteris_paucidentata	?
Allactaga_balikunica	?
Allactaga_bullata	?
Allactaga_elater	Omnivore
Allactaga_euphratica	Omnivore
Allactaga_firouzi	?
Allactaga_hotsoni	?
Allactaga_major	?
Allactaga_severtzovi	?
Allactaga_sibirica	?
Allactaga_tetradactyla	Herbivore
Allactaga_vinogradovi	?
Allactaga_williamsi	?
Allactodipus_bobrinskii	?
Allenopithecus_nigroviridis	Omnivore
Allocebus_trichotis	?
Allocricetulus_curtatus	?
Allocricetulus_eversmanni	?
Alouatta_belzebul	Herbivore
Alouatta_caraya	Herbivore
Alouatta_coibensis	?
Alouatta_guariba	Herbivore
Alouatta_macconnelli	?
Alouatta_nigerrima	?
Alouatta_palliata	Herbivore
Alouatta_pigra	Herbivore
Alouatta_sara	?
Alouatta_seniculus	Herbivore
Alticola_albicaudus	?
Alticola_argentatus	Herbivore
Alticola_barakshin	?
Alticola_lemminus	?
Alticola_macrotis	?
Alticola_montosa	?
Alticola_olchonensis	?
Alticola_roylei	?
Alticola_semicanus	?
Alticola_stoliczkanus	?
Alticola_strelzowi	Herbivore
Alticola_tuvinicus	?
Amblysomus_corriae	?
Amblysomus_hottentotus	Carnivore
Amblysomus_marleyi	?
Amblysomus_septentrionalis	?
Ametrida_centurio	?
Ammodillus_imbellis	?
Ammodorcas_clarkei	Herbivore
Ammospermophilus_harrisii	Herbivore
Ammospermophilus_insularis	?
Ammospermophilus_interpres	Omnivore
Ammospermophilus_leucurus	Omnivore
Ammospermophilus_nelsoni	Omnivore
Ammotragus_lervia	Herbivore
Amorphochilus_schnablii	?
Anathana_ellioti	Omnivore
Andalgalomys_olrogi	?
Andalgalomys_pearsoni	?
Andinomys_edax	?
Anisomys_imitator	?
Anomalurus_beecrofti	Herbivore
Anomalurus_derbianus	Omnivore
Anomalurus_pelii	Herbivore
Anomalurus_pusillus	Herbivore
Anonymomys_mindorensis	?
Anotomys_leander	Carnivore
Anoura_caudifer	?
Anoura_cultrata	Omnivore
Anoura_geoffroyi	Carnivore
Anoura_latidens	?
Anourosorex_assamensis	?
Anourosorex_schmidi	?
Anourosorex_squamipes	?
Anourosorex_yamashinai	?
Antechinomys_laniger	Carnivore
Antechinus_adustus	?
Antechinus_bellus	Carnivore
Antechinus_flavipes	Carnivore
Antechinus_godmani	Carnivore
Antechinus_leo	Carnivore
Antechinus_minimus	Carnivore
Antechinus_stuartii	Omnivore
Antechinus_swainsonii	Omnivore
Anthops_ornatus	?
Antidorcas_marsupialis	Herbivore
Antilocapra_americana	Herbivore
Antilope_cervicapra	Herbivore
Antrozous_pallidus	Carnivore
Aonyx_capensis	Carnivore
Aonyx_cinerea	?
Aotus_azarae	?
Aotus_hershkovitzi	?
Aotus_lemurinus	?
Aotus_miconax	?
Aotus_nancymaae	?
Aotus_nigriceps	?
Aotus_trivirgatus	Omnivore
Aotus_vociferans	?
Aplodontia_rufa	Herbivore
Apodemus_agrarius	?
Apodemus_alpicola	?
Apodemus_argenteus	?
Apodemus_chevrieri	?
Apodemus_draco	?
Apodemus_epimelas	?
Apodemus_flavicollis	?
Apodemus_gurkha	?
Apodemus_hyrcanicus	?
Apodemus_latronum	?
Apodemus_mystacinus	?
Apodemus_pallipes	?
Apodemus_peninsulae	?
Apodemus_ponticus	?
Apodemus_rusiges	?
Apodemus_semotus	?
Apodemus_speciosus	?
Apodemus_sylvaticus	Omnivore
Apodemus_uralensis	?
Apodemus_witherbyi	?
Apomys_abrae	?
Apomys_datae	?
Apomys_hylocetes	?
Apomys_insignis	?
Apomys_littoralis	?
Apomys_microdon	?
Apomys_musculus	Omnivore
Apomys_sacobianus	?
Aproteles_bulmerae	Herbivore
Arborimus_albipes	Herbivore
Arborimus_longicaudus	Herbivore
Arborimus_pomo	Herbivore
Archboldomys_luzonensis	Carnivore
Arctictis_binturong	?
Arctocebus_aureus	?
Arctocebus_calabarensis	Omnivore
Arctocephalus_australis	?
Arctocephalus_forsteri	?
Arctocephalus_galapagoensis	?
Arctocephalus_gazella	Carnivore
Arctocephalus_philippii	?
Arctocephalus_pusillus	?
Arctocephalus_townsendi	Carnivore
Arctocephalus_tropicalis	?
Arctogalidia_trivirgata	?
Arctonyx_collaris	?
Ardops_nichollsi	?
Arielulus_circumdatus	?
Arielulus_cuprosus	?
Arielulus_societatis	?
Ariteus_flavescens	Herbivore
Artibeus_amplus	?
Artibeus_anderseni	?
Artibeus_aztecus	?
Artibeus_cinereus	?
Artibeus_concolor	?
Artibeus_fimbriatus	Herbivore
Artibeus_fraterculus	?
Artibeus_glaucus	Herbivore
Artibeus_gnomus	?
Artibeus_hirsutus	?
Artibeus_inopinatus	?
Artibeus_jamaicensis	Herbivore
Artibeus_lituratus	Herbivore
Artibeus_obscurus	?
Artibeus_phaeotis	Herbivore
Artibeus_toltecus	?
Artibeus_watsoni	?
Arvicanthis_abyssinicus	?
Arvicanthis_ansorgei	?
Arvicanthis_blicki	?
Arvicanthis_nairobae	?
Arvicanthis_neumanni	?
Arvicanthis_niloticus	Omnivore
Arvicanthis_rufinus	?
Arvicola_amphibius	Herbivore
Arvicola_sapidus	Herbivore
Arvicola_scherman	?
Asellia_patrizii	?
Asellia_tridens	?
Aselliscus_stoliczkanus	?
Aselliscus_tricuspidatus	?
Atelerix_albiventris	?
Atelerix_algirus	Omnivore
Atelerix_frontalis	Carnivore
Atelerix_sclateri	?
